Wall time,Step,Value
1716031423.095558,1254,0.30000001192092896
1716031426.639957,1257,0.10000000149011612
1716031429.664046,1260,0.4000000059604645
1716031430.526175,1261,0.5
1716031436.839173,1267,0.20000000298023224
1716031441.41363,1271,0.30000001192092896
1716031447.756363,1276,0.20000000298023224
1716031449.130008,1278,0.4000000059604645
1716031453.009699,1282,0.10000000149011612
1716031456.143043,1285,0.20000000298023224
1716031461.617621,1290,0.20000000298023224
1716031465.1095119,1293,0.20000000298023224
1716031470.269747,1298,0.5
1716031471.533748,1299,0.10000000149011612
1716031475.32464,1302,0.5
1716031479.146144,1306,0.0
1716031488.969044,1315,0.5
1716031495.968842,1322,0.5
1716031499.292039,1325,0.20000000298023224
1716031500.298453,1326,0.30000001192092896
1716031509.820627,1335,0.10000000149011612
1716031521.285262,1345,0.5
1716031524.685869,1348,0.30000001192092896
1716031532.570289,1354,0.20000000298023224
1716031539.123254,1360,0.5
1716031542.648575,1364,0.4000000059604645
1716031546.614676,1368,0.30000001192092896
1716031555.820419,1375,0.20000000298023224
1716031557.058964,1376,0.20000000298023224
1716031561.93754,1380,0.10000000149011612
1716031569.668287,1386,0.699999988079071
1716031575.0728672,1390,0.30000001192092896
1716031578.2349062,1393,0.30000001192092896
1716031582.547225,1397,0.10000000149011612
1716031603.8722408,1417,0.5
1716031608.2924008,1421,0.4000000059604645
1716031619.113153,1431,0.4000000059604645
1716031624.7195158,1436,0.20000000298023224
1716031626.586924,1438,0.4000000059604645
1716031627.61839,1439,0.20000000298023224
1716031628.7593658,1440,0.4000000059604645
1716031629.968831,1441,0.20000000298023224
1716031637.565453,1449,0.30000001192092896
1716031646.109153,1457,0.4000000059604645
1716031647.114282,1458,0.10000000149011612
1716031649.009611,1460,0.20000000298023224
1716031650.209513,1461,0.4000000059604645
1716031661.6426508,1473,0.30000001192092896
1716031662.506212,1474,0.6000000238418579
1716031664.394701,1476,0.4000000059604645
1716031676.118114,1487,0.30000001192092896
1716031679.112427,1490,0.4000000059604645
1716031683.3059452,1494,0.4000000059604645
1716031687.3053088,1498,0.30000001192092896
1716031691.271321,1502,0.4000000059604645
1716031698.576232,1509,0.4000000059604645
1716031700.2818618,1510,0.30000001192092896
1716031701.494705,1511,0.30000001192092896
1716031703.710908,1513,0.10000000149011612
1716031706.174794,1516,0.4000000059604645
1716031718.148066,1528,0.30000001192092896
1716031724.667805,1534,0.5
1716031727.961004,1537,0.30000001192092896
1716031728.8209732,1538,0.20000000298023224
1716031739.710539,1548,0.10000000149011612
1716031742.873503,1551,0.10000000149011612
1716031744.2170298,1552,0.4000000059604645
1716031753.9957728,1562,0.30000001192092896
1716031757.084796,1565,0.6000000238418579
1716031758.2906308,1566,0.30000001192092896
1716031760.5574882,1568,0.4000000059604645
1716031764.447278,1572,0.5
1716031765.330073,1573,0.20000000298023224
1716031768.260226,1576,0.30000001192092896
1716031773.578569,1580,0.30000001192092896
1716031777.901183,1585,0.5
1716031789.997043,1596,0.5
1716031795.419415,1601,0.10000000149011612
1716031797.635201,1603,0.30000001192092896
1716031805.8781629,1611,0.5
1716031822.988769,1627,0.4000000059604645
1716031830.794246,1635,0.20000000298023224
1716031832.74134,1637,0.6000000238418579
1716031836.655102,1640,0.30000001192092896
1716031843.596552,1646,0.5
1716031844.659303,1647,0.20000000298023224
1716031851.497592,1654,0.4000000059604645
1716031858.6752589,1662,0.30000001192092896
1716031861.955731,1666,0.30000001192092896
1716031865.837162,1670,0.30000001192092896
1716031869.5031302,1674,0.5
1716031872.306324,1677,0.30000001192092896
1716031874.027362,1679,0.10000000149011612
1716031880.0735328,1685,0.30000001192092896
1716031881.091486,1686,0.4000000059604645
1716031882.414449,1687,0.30000001192092896
1716031883.443271,1688,0.4000000059604645
1716031889.8587992,1694,0.30000001192092896
1716031891.079075,1695,0.5
1716031898.4527879,1702,0.20000000298023224
1716031900.0179,1704,0.4000000059604645
1716031903.1172311,1707,0.30000001192092896
1716031905.0001159,1709,0.30000001192092896
1716031907.0457559,1710,0.4000000059604645
1716031907.8990788,1711,0.30000001192092896
1716031914.207529,1718,0.4000000059604645
1716031918.952579,1722,0.10000000149011612
1716031919.833678,1723,0.10000000149011612
1716031921.9063501,1725,0.5
1716031927.2807522,1730,0.20000000298023224
1716031936.100461,1738,0.20000000298023224
1716031936.93899,1739,0.20000000298023224
1716031941.0078871,1743,0.30000001192092896
1716031943.543971,1745,0.20000000298023224
1716031952.392216,1753,0.20000000298023224
1716031953.2811131,1754,0.5
1716031966.173453,1765,0.30000001192092896
1716031976.394992,1775,0.4000000059604645
1716031978.492779,1777,0.6000000238418579
1716031981.84834,1780,0.4000000059604645
1716031985.281881,1784,0.30000001192092896
1716031986.47388,1785,0.5
1716031987.3566458,1786,0.4000000059604645
1716031990.713065,1789,0.4000000059604645
1716031993.859074,1792,0.20000000298023224
1716031998.446849,1796,0.20000000298023224
1716032001.968179,1800,0.6000000238418579
1716032022.395181,1819,0.4000000059604645
1716032026.912153,1823,0.20000000298023224
1716032030.936835,1827,0.5
1716032034.412651,1830,0.20000000298023224
1716032036.048619,1832,0.20000000298023224
1716032039.518272,1836,0.4000000059604645
1716032041.810797,1838,0.6000000238418579
1716032050.561609,1847,0.5
1716032056.365391,1851,0.30000001192092896
1716032065.4279711,1860,0.4000000059604645
1716032070.111767,1865,0.30000001192092896
1716032071.270796,1866,0.699999988079071
1716032071.970141,1867,0.30000001192092896
1716032085.353281,1880,0.4000000059604645
1716032088.060975,1883,0.20000000298023224
1716032090.555674,1886,0.30000001192092896
1716032091.973793,1888,0.5
1716032099.669966,1895,0.6000000238418579
1716032103.105686,1899,0.10000000149011612
1716032106.16207,1902,0.30000001192092896
1716032112.558084,1908,0.20000000298023224
1716032113.397171,1909,0.20000000298023224
1716032114.837276,1910,0.0
1716032118.606366,1913,0.10000000149011612
1716032123.26075,1918,0.20000000298023224
1716032129.457979,1924,0.20000000298023224
1716032130.677731,1925,0.30000001192092896
1716032139.11792,1935,0.5
1716032139.85429,1936,0.30000001192092896
1716032143.413169,1940,0.699999988079071
1716032144.441163,1941,0.10000000149011612
1716032148.0810869,1945,0.30000001192092896
1716032149.4472919,1947,0.20000000298023224
1716032155.649238,1953,0.30000001192092896
1716032158.289404,1956,0.30000001192092896
1716032161.921074,1960,0.5
1716032162.7904599,1961,0.20000000298023224
1716032164.317673,1963,0.4000000059604645
1716032165.321881,1964,0.6000000238418579
1716032167.0686898,1966,0.4000000059604645
1716032177.332142,1977,0.4000000059604645
1716032178.727168,1979,0.30000001192092896
1716032187.1352818,1987,0.30000001192092896
1716032187.8456252,1988,0.6000000238418579
1716032190.532734,1991,0.6000000238418579
1716032217.258788,2021,0.5
1716032222.393672,2026,0.5
1716032230.082002,2035,0.6000000238418579
1716032231.1379771,2036,0.10000000149011612
1716032236.758111,2043,0.6000000238418579
1716032240.425896,2047,0.30000001192092896
1716032246.109935,2054,0.6000000238418579
1716032246.952321,2055,0.20000000298023224
1716032257.508894,2067,0.4000000059604645
1716032260.2208982,2070,0.5
1716032267.013901,2079,0.6000000238418579
1716032273.5008068,2087,0.4000000059604645
1716032274.894319,2089,0.6000000238418579
