rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range
-20.949743270874023,1259520,25.0,303,4143,205,-0.01596804050641367,0.009948979,0.09676106770833333,0.0003,0.8278016597032547,-0.024681059643626213,-0.7179756902158261,0.0016294906870825798,2040,0.2
-21.414274215698242,1265664,25.0,305,4143,206,-0.017739016336660522,0.011482556,0.11204427083333333,0.0003,0.8080073297023773,-0.03724301978945732,-0.7582194346934557,0.0018508935455126144,2050,0.2
-19.727378845214844,1271808,25.0,306,4143,207,-0.016831145789668274,0.009385831,0.09918619791666666,0.0003,0.8465759754180908,-0.005127449985593557,-0.7371024729683995,0.0020492839387467638,2060,0.2
-22.151033401489258,1277952,25.0,308,4143,208,-0.01585793061046085,0.009929064,0.11027018229166667,0.0003,0.7851278930902481,-0.021217605099081993,-0.7276355732853214,0.0019515105655348937,2070,0.2
-22.638200759887695,1284096,25.0,309,4144,209,-0.01718143711380738,0.010751727,0.10349934895833333,0.0003,0.8668542355298996,-0.04283089190721512,-0.74478704277426,0.0015171559522059396,2080,0.2
-22.060997009277344,1290240,25.0,311,4144,210,-0.018635594770118283,0.012626884,0.121533203125,0.0003,0.8217263668775558,-0.03664029762148857,-0.773326692233483,0.0019446037811576388,2090,0.2
-21.193832397460938,1296384,25.0,312,4144,211,-0.01610941088826318,0.009947426,0.09671223958333333,0.0003,0.8634915202856064,-0.015002411790192127,-0.7555663382013639,0.0012209356829165094,2100,0.2
-21.315288543701172,1302528,25.0,314,4144,212,-0.017494565051068396,0.0110866055,0.11155598958333333,0.0003,0.8370587378740311,-0.0020545613951981068,-0.7569647175570329,0.0018111712673392806,2110,0.2
-21.557323455810547,1308672,25.0,315,4145,213,-0.017654343569787064,0.010793191,0.10862630208333333,0.0003,0.8309431970119476,-0.03280632942914963,-0.7804970225319267,0.001627815123962743,2120,0.2
-21.24968910217285,1314816,25.0,317,4145,214,-0.01760316367993558,0.010569167,0.10577799479166666,0.0003,0.8518462479114532,-0.04952705278992653,-0.7739556429907679,0.0015853794166711547,2130,0.2
-20.549772262573242,1320960,25.0,318,4145,215,-0.017590021994935038,0.009667512,0.10693359375,0.0003,0.8091161698102951,-0.013796135783195496,-0.7484726312259833,0.0018956526762243205,2140,0.2
-21.193681716918945,1327104,25.0,320,4145,216,-0.016489503249370804,0.0092289755,0.09729817708333334,0.0003,0.8718010932207108,-0.028575457632541656,-0.7629202053571741,0.0014444855380740288,2150,0.2
-22.803693771362305,1333248,25.0,321,4145,217,-0.013596754273748957,0.008633607,0.09090169270833333,0.0003,0.8599266856908798,-0.032469410449266434,-0.7521630842238665,0.0014840123871181277,2160,0.2
-21.80655288696289,1339392,25.0,323,4145,218,-0.015623704807755228,0.010574795,0.10670572916666667,0.0003,0.8728156238794327,-0.015570517629384995,-0.7458398961772521,0.0015198616153914676,2170,0.2
-22.4128475189209,1345536,25.0,324,4145,219,-0.014697161392541602,0.009814146,0.09630533854166666,0.0003,0.8806491494178772,-0.035581979900598526,-0.7364645649989446,0.0015282945826887346,2180,0.2
-22.898279190063477,1351680,25.0,326,4146,220,-0.018759733969151662,0.010840519,0.11350911458333333,0.0003,0.8626348972320557,0.002389216795563698,-0.7543654225766658,0.0014304395546787419,2190,0.2
-21.405324935913086,1357824,25.0,327,4145,221,-0.01708839760055222,0.01154235,0.113671875,0.0003,0.8416364341974258,-0.0384800061583519,-0.7588463209569454,0.001650197040301767,2200,0.2
